source,target,weight
41,31,0.125267004004
55,31,0.270525941451
55,41,0.130126626443
58,31,0.170735622912
58,55,0.571901863431
60,5,0.132863499806
60,28,0.267950329102
65,31,0.45091739813
65,37,0.138361699239
65,41,0.116137155326
65,55,0.193205600588
65,58,0.180377235296
68,31,0.100345904162
68,65,0.289134303195
71,60,0.139499312181
76,8,0.114801765377
76,42,0.156239187788
76,60,0.139830127091
84,65,0.11602465112
95,13,0.127251542063
95,53,0.178030367574
97,6,0.258247740553
102,5,0.118395603703
102,31,0.64711852413
102,55,0.148637241179
102,60,0.290858521814
102,76,0.105723426739
107,65,0.157100800772
109,65,0.184742899604
110,66,0.229192956361
112,31,0.268428705423
112,41,0.13554241382
112,55,0.965720976234
112,58,0.532243059666
112,65,0.186781342125
112,102,0.150968665263
121,5,0.338454849347
121,57,0.148574349916
121,60,0.309149968457
121,76,0.140136342207
121,89,0.114911343228
121,101,0.107567112797
121,102,0.501431165889
123,31,0.172956143526
123,65,0.328425338602
123,109,0.132155569475
124,31,0.216332028714
124,41,0.112271149363
124,55,0.103471400541
124,65,0.45513681157
124,103,0.152203764195
124,109,0.199596155831
124,112,0.100648842152
124,118,0.111771875337
124,123,0.277202181132
125,62,0.109537641188
128,17,0.125542844287
134,7,0.10169729647
134,9,0.130444759644
134,28,0.105753957321
134,60,0.168402994464
134,102,0.116980661673
134,106,0.291520286834
134,121,0.205348392667
136,65,0.105132818836
136,124,0.115548217629
140,36,0.242211070121
143,109,0.123063117593
144,5,0.16961344489
144,29,0.131962599073
144,57,0.190930818532
144,60,0.184948096495
144,76,0.111622585709
144,101,0.185436032244
144,102,0.265075941482
144,121,0.417923098082
148,101,0.140050590786
149,31,0.240131590251
149,55,0.357858166644
149,58,0.308501222504
149,62,0.105105880179
149,65,0.196598150354
149,102,0.136612971595
149,112,0.362485977483
149,123,0.166359018845
149,125,0.100113941174
